movie,link,country
Shree 420,https://www.imdb.com/title/tt0048613/locations/?ref_=tt_dt_loc,India
RRR,https://www.imdb.com/title/tt8178634/locations/?ref_=tt_dt_loc,India$Ukraine$Bulgaria
PK,https://www.imdb.com/title/tt2338151/locations/?ref_=tt_dt_loc,India$Belgium
Zindagi Na Milegi Dobara,https://www.imdb.com/title/tt1562872/locations/?ref_=tt_dt_loc,Spain
Animal,https://www.imdb.com/title/tt13751694/locations/?ref_=tt_dt_loc,UK$India
Yeh Jawaani Hai Deewani,https://www.imdb.com/title/tt2178470/locations/?ref_=tt_dt_loc,France$India
Uri: The Surgical Strike,https://www.imdb.com/title/tt8291224/locations/?ref_=tt_dt_loc,Serbia
Jawan,https://www.imdb.com/title/tt15354916/locations/?ref_=tt_dt_loc,India
Jab Harry Met Sejal,https://www.imdb.com/title/tt5997666/locations/?ref_=tt_dt_loc,India$Netherlands$Portugal$Czech Republic$Hungary
Rock On!!,https://www.imdb.com/title/tt1230165/locations/?ref_=tt_dt_loc,India
Happy New Year,https://www.imdb.com/title/tt2461132/locations/?ref_=tt_dt_loc,United Arab Emirates$India
Goliyon Ki Raasleela Ram-leela,https://www.imdb.com/title/tt2215477/locations/?ref_=tt_dt_loc,India
Yamla Pagla Deewana,https://www.imdb.com/title/tt1773109/locations/?ref_=tt_dt_loc,Canada$India
Gully Boy (2019),https://www.imdb.com/title/tt2395469/locations/?ref_=tt_dt_loc,India
Barfi!,https://www.imdb.com/title/tt2082197/locations/?ref_=tt_dt_loc,India
Eega,https://www.imdb.com/title/tt2258337/locations/?ref_=tt_dt_loc,India
Baahubali: The Beginning,https://www.imdb.com/title/tt2631186/locations/?ref_=tt_dt_loc,India$Bulgaria
Jaane Tu Ya Jaane Na,https://www.imdb.com/title/tt0473367/locations/?ref_=tt_dt_loc,India
Dangal,https://www.imdb.com/title/tt5074352/locations/?ref_=tt_dt_loc,UK$India$USA
Piku,https://www.imdb.com/title/tt3767372/locations/?ref_=tt_dt_loc,India
Dilwale,https://www.imdb.com/title/tt4535650/locations/?ref_=tt_dt_loc,Abu Dhabi$Bulgaria$Iceland$Mauritius$South Africa
Brahmastra Part One: Shiva,https://www.imdb.com/title/tt6277462/locations/?ref_=tt_dt_loc,UK$India$Bulgaria
Ghajini,https://www.imdb.com/title/tt1166100/locations/?ref_=tt_dt_loc,UK$Namibia$India
Kapoor and Sons,https://www.imdb.com/title/tt4900716/locations/?ref_=tt_dt_loc,India
Kabir Singh,https://www.imdb.com/title/tt8983202/locations/?ref_=tt_dt_loc,India
Ae Dil Hai Mushkil,https://www.imdb.com/title/tt4559006/locations/?ref_=tt_dt_loc,UK$Austria
Jaane Jaan ,https://www.imdb.com/title/tt15748830/locations/?ref_=tt_dt_loc,India
Chennai Express,https://www.imdb.com/title/tt2112124/locations/?ref_=tt_dt_loc,Indonesia$India
Karthik Calling Karthik,https://www.imdb.com/title/tt1373156/locations/?ref_=tt_dt_loc,India
Band Baja Baarat,https://www.imdb.com/title/tt1610452/locations/?ref_=tt_dt_loc,India
Sairat,https://www.imdb.com/title/tt5312232/locations/?ref_=tt_dt_loc,India
Bajirao Mastani,https://www.imdb.com/title/tt3735246/locations/?ref_=tt_dt_loc,India
Don,https://www.imdb.com/title/tt0461936/locations/?ref_=tt_dt_loc,Malaysia$USA
War (2019),https://www.imdb.com/title/tt7430722/locations/?ref_=tt_dt_loc,Switzerland$Portugal$Italy$Sweden
Jug Jug Jeeyo,https://www.imdb.com/title/tt2905838/locations/?ref_=tt_dt_loc,Greece$United Arab Emirates$Czech Republic$India
Tanu Weds Manu Returns,https://www.imdb.com/title/tt2140465/locations/?ref_=tt_dt_loc,UK$India
83,https://www.imdb.com/title/tt7518786/locations/?ref_=tt_dt_loc,UK
Race Gurram,https://www.imdb.com/title/tt3142764/locations/?ref_=tt_dt_loc,Italy$India
Baar Baar Dekho,https://www.imdb.com/title/tt5197544/locations/?ref_=tt_dt_loc,UK$India$USA
Queen,https://www.imdb.com/title/tt3322420/locations/?ref_=tt_dt_loc,Netherlands$France$India
Aravinda Sametha Veera Raghava,https://www.imdb.com/title/tt7765910/locations/?ref_=tt_dt_loc,India
Srimanthudu,https://www.imdb.com/title/tt4727512/locations/?ref_=tt_dt_loc,India
Lakshya,https://www.imdb.com/title/tt0323013/locations/?ref_=tt_dt_loc,India
Student of the Year,https://www.imdb.com/title/tt2172071/locations/?ref_=tt_dt_loc,Thailand
pushpa,https://www.imdb.com/title/tt9389998/locations/?ref_=tt_dt_loc,India
Dhoom 3,https://www.imdb.com/title/tt1833673/locations/?ref_=tt_dt_loc,Switzerland$India$USA
Humpty Sharma Ki Dulhania,https://www.imdb.com/title/tt2181931/locations/?ref_=tt_dt_loc,India$USA
Titli,https://www.imdb.com/title/tt3019620/locations/?ref_=tt_dt_loc,India
Like Stars on Earth (Taare Zameen Par),https://www.imdb.com/title/tt0986264/locations/?ref_=tt_dt_loc,India
Shershaah,https://www.imdb.com/title/tt10295212/locations/?ref_=tt_dt_loc,Kashmir$India
Dhoom 2 ,https://www.imdb.com/title/tt0441048/locations/?ref_=tt_dt_loc,South Africa$Namibia$India$Brazil
Thugs of Hindostan,https://www.imdb.com/title/tt5970844/locations/?ref_=tt_dt_loc,Thailand$Malta
Leo,https://www.imdb.com/title/tt15654328/locations/?ref_=tt_dt_loc,India
We are family,https://www.imdb.com/title/tt1428459/locations/?ref_=tt_dt_loc,Australia$India
Race,https://www.imdb.com/title/tt1017456/locations/?ref_=tt_dt_loc,United Arab Emirates$South Africa
Koi Mil Gaya,https://www.imdb.com/title/tt0254481/locations/?ref_=tt_dt_loc,Canada$India
Udta Punjab,https://www.imdb.com/title/tt4434004/locations/?ref_=tt_dt_loc,India
Magadheera,https://www.imdb.com/title/tt1447500/locations/?ref_=tt_dt_loc,Switzerland$India
Ra.One,https://www.imdb.com/title/tt1562871/locations/?ref_=tt_dt_loc,UK$India
Chhichhore,https://www.imdb.com/title/tt9052870/locations/?ref_=tt_dt_loc,UK
Kabhi Alvida Naa Kehna,https://www.imdb.com/title/tt0449999/locations/?ref_=tt_dt_loc,India$USA
Ponniyin Selvan: Part 1,https://www.imdb.com/title/tt10701074/locations/?ref_=tt_dt_loc,Thailand$India
De de Pyaar de,https://www.imdb.com/title/tt8647400/locations/?ref_=tt_dt_loc,UK$India
Dil Chahta Hai,https://www.imdb.com/title/tt0292490/locations/?ref_=tt_dt_loc,Australia$India
Secret Superstar,https://www.imdb.com/title/tt6108090/locations/?ref_=tt_dt_loc,India
Udaan,https://www.imdb.com/title/tt1639426/locations/?ref_=tt_dt_loc,India
Enthiran,https://www.imdb.com/title/tt1305797/locations/?ref_=tt_dt_loc,Peru$Vietnam$India$Brazil
Kal Ho Na Ho,https://www.imdb.com/title/tt0347304/locations/?ref_=tt_dt_loc,Canada$India$USA
Om Shanti Om,https://www.imdb.com/title/tt1024943/locations/?ref_=tt_dt_loc,India
Saawariya,https://www.imdb.com/title/tt0758053/locations/?ref_=tt_dt_loc,India
Ittefaq,https://www.imdb.com/title/tt6692354/locations/?ref_=tt_dt_loc,India
Partner,https://www.imdb.com/title/tt0807758/locations/?ref_=tt_dt_loc,Thailand$United Arab Emirates$Canada$India
Swades,https://www.imdb.com/title/tt0367110/locations/?ref_=tt_dt_loc,India$USA
Pad man,https://www.imdb.com/title/tt7218518/locations/?ref_=tt_dt_loc,India
Munna Bhai M.B.B.S.,https://www.imdb.com/title/tt0374887/locations/?ref_=tt_dt_loc,India
Mission Majnu,https://www.imdb.com/title/tt13131232/locations/?ref_=tt_dt_loc,India
Raanjhaana,https://www.imdb.com/title/tt2359810/locations/?ref_=tt_dt_loc,India
Attarintiki Daredi,https://www.imdb.com/title/tt3042926/locations/?ref_=tt_dt_loc,Spain$India$Italy
Dabangg,https://www.imdb.com/title/tt1620719/locations/?ref_=tt_dt_loc,United Arab Emirates$India
Monsoon Wedding,https://www.imdb.com/title/tt0265343/locations/?ref_=tt_dt_loc,India
Jab Tak Hai Jaan,https://www.imdb.com/title/tt2176013/locations/?ref_=tt_dt_loc,Kashmir$UK$India
Jab We Met,https://www.imdb.com/title/tt1093370/locations/?ref_=tt_dt_loc,India
The Archies,https://www.imdb.com/title/tt15979666/locations/?ref_=tt_dt_loc,India
Dostana,https://www.imdb.com/title/tt1185420/locations/?ref_=tt_dt_loc,USA
Rab Ne Bana Di Jodi,https://www.imdb.com/title/tt1182937/locations/?ref_=tt_dt_loc,India
Radhe Shyam,https://www.imdb.com/title/tt8960382/locations/?ref_=tt_dt_loc,Italy
Rang De Basanti ,https://www.imdb.com/title/tt0405508/locations/?ref_=tt_dt_loc,India
Drishyam 2,https://www.imdb.com/title/tt15501640/locations/?ref_=tt_dt_loc,India
Salaar,https://www.imdb.com/title/tt13927994/locations/?ref_=tt_dt_loc,Telangana$India
Main Hoon Na,https://www.imdb.com/title/tt0347473/locations/?ref_=tt_dt_loc,India
S/O Satyamurthy,https://www.imdb.com/title/tt4596814/locations/?ref_=tt_dt_loc,Spain$India
Race 2,https://www.imdb.com/title/tt1375789/locations/?ref_=tt_dt_loc,Northern Cyprus$Turkey
The Lunchbox,https://www.imdb.com/title/tt2350496/locations/?ref_=tt_dt_loc,India
Players,https://www.imdb.com/title/tt1784589/locations/?ref_=tt_dt_loc,Netherlands$New Zealand$Russia
Mimi,https://www.imdb.com/title/tt10895576/locations/?ref_=tt_dt_loc,India
Main Tera Hero,https://www.imdb.com/title/tt2762334/locations/?ref_=tt_dt_loc,Thailand$India
Tamasha,https://www.imdb.com/title/tt3148502/locations/?ref_=tt_dt_loc,Japan$France$India
2 States,https://www.imdb.com/title/tt2372678/locations/?ref_=tt_dt_loc,India
Bhaag Milkha Bhaag,https://www.imdb.com/title/tt2356180/locations/?ref_=tt_dt_loc,India$Italy$Thailand$Australia$Japan
Rajneeti,https://www.imdb.com/title/tt1291465/locations/?ref_=tt_dt_loc,India
Golmaal: Fun Unlimited,https://www.imdb.com/title/tt0495034/locations/?ref_=tt_dt_loc,Thailand$Mauritius$India
Life of Pi,https://www.imdb.com/title/tt0454876/locations/?ref_=tt_dt_loc,New Zealand$Canada$India$Taiwan
Kabhi Khushi Kabhie Gham,https://www.imdb.com/title/tt0248126/locations/?ref_=tt_dt_loc,Egypt$UK
Krrish,https://www.imdb.com/title/tt0432637/locations/?ref_=tt_dt_loc,Singapore$India
Seethamma Vakitlo Sirimalle Chettu,https://www.imdb.com/title/tt2198161/locations/?ref_=tt_dt_loc,India
Joe B Carvalho,https://www.imdb.com/title/tt2876408/locations/?ref_=tt_dt_loc,India
Masaan,https://www.imdb.com/title/tt4635372/locations/?ref_=tt_dt_loc,India
Vivah,https://www.imdb.com/title/tt0494290/locations/?ref_=tt_dt_loc,India
Rockstar,https://www.imdb.com/title/tt1839596/locations/?ref_=tt_dt_loc,Czech Republic$India
Lamhaa: The Untold Story of Kashmir ,https://www.imdb.com/title/tt1309561/locations/?ref_=tt_dt_loc,India
Talaash: The answer lies within,https://www.imdb.com/title/tt1787988/locations/?ref_=tt_dt_loc,India
Shahid,https://www.imdb.com/title/tt2181831/locations/?ref_=tt_dt_loc,India
Airlift,https://www.imdb.com/title/tt4387040/locations/?ref_=tt_dt_loc,United Arab Emirates$India
Shaandaar,https://www.imdb.com/title/tt4007558/locations/?ref_=tt_dt_loc,India$UK$Poland
